Profile,User,Message,Character Art,Character Bio Link,Character Sheet Link,Class List,Embed Color,Level,Origin,Other Names,Physical Description,Quirks,Rare Equipment,Related Arcana,Story Summary,Theme
Agata Nergoth,151914442035036160,1356364520380956784,https://i.imgur.com/KI4NYrO.jpeg,,https://docs.google.com/spreadsheets/d/1X_UJz_yyYQDFazHLfTod4lJ0Y9DGpd4Uo70ZtbK6yw8/edit?usp=sharing,Pilot (★)  Esper (★) Tinkerer (★) Entropist (★) Arcanist (9),,49,Hidela,,Agata is a young woman standing at about 5'10 in height. She has long blonde hair tied back in a pony tail most times. Her clothes usually are stained with oil and grease as the scent of machinery follows her around.,Cognative Spector,,,-,Belonging
Akahime Fuyumi,186812413574774784,1354255682919989449,https://i.imgur.com/GiPzQkL.png,https://discord.com/channels/1169852846083153941/1170111183869706362/1354255225392861395,https://docs.google.com/spreadsheets/d/1LDOTs4O8nw_HiJshhKN-ngt7e8b_P54XHmczQKnxm8A/edit?gid=0#gid=0,"Chanter 3
Dungeoneer 1
Weaponmaster 1",,5,Aldistir,,"Akahime, the Winter Serpent, is an ethereal being with a long, serpentine lower body that is is cloaked in obsidian-black scales, coiling with silent grace across the frozen wastes she calls home. Towering and poised, her upper half bears the countenance of a pale, silver-haired Ald—yet her piercing gaze and the faint, otherworldly glow in her pale eyes betray something far older and deeper.

She dons ornate, silver-on-black armor. Flowing silks trail from beneath the plate, catching ghostlight as she moves. In her hands, she wields the Night Lantern, a staff bound with chains and a crimson lantern that bleeds spectral mist. Its flickering light draws spirits near, some seeking peace—others, prey.","Heirloom: The Night Lantern

The Night Lantern guides the lost—those whose spirits wander through the bleak blizzards where even Akahime's sirenic voice cannot reach. Yet, the lantern’s light pierces through. Suspended from its chain at the end of her staff, it offers a sense of control, comfort, and quiet confidence to those nearby. In her hands, it becomes more than a beacon—it is a weapon, radiant and resolute, used to banish darkness in all its forms. Unfortunately, not everything the lantern attracts is friendly...","The Night Lantern

Custom Item: 
Base Form: Arcane, melee, [HR+7], [WIL + WIL], Transforming, Magic Defense Boost, Defense Boost, Damage type: Light
Transformation: Flail, melee, [HR+12], [DEX + WIL], Transforming, Accurate, Powerful, Damage type: Light
Rare Item Quality: Harmonious, Damage Change - Light""",,"- Serpentine yokai who guides lost souls through frozen Aldistir.

- Found the glowing Night Lantern at the Grasping Tree.

- Became a beacon for the lost- and threats.

- Trained to protect the souls she ferries.

- Hunts godblood corrupted beings to free them from torment.

- Thanks to the Worldhelm, she now travels between realms, continuing her sacred task.",The Siren of Lost Souls
Akar Ceba,511222285999276042,1341888589218316352,https://cdn.discordapp.com/attachments/678389560182439961/1341128004897738772/007f164ad2beea9c3f6651e98ff0aa55.jpg?ex=67b78149&is=67b62fc9&hm=7fe4ea9e2850fcbab7f90e978d3277dd07a725ede0a9d1055f20e31db96fcc86&,,https://docs.google.com/spreadsheets/d/1GlwfEpqclsQud0J47hR7ttoGoLDgolAsuNIfgQsbZX8/edit?gid=0#gid=0,"Guardian [1], Wayfarer [1], Weapon Master [3]",,5,Idyll,,"Akar wears a comfortable, white robe and a heavy, black robe over his left shoulder. The seams of both his tunic and his robe are adorned with soft sheep wool. Both his lower arms and ankles are covered in red threads. Akar wears many decorative charms and colourful decorations, including earrings and a talisman in the shape of a bell, which is tied to his collar. He almost never seen without his shepherd crook, which is also adorned with the same charms and bells he wears on his body.

His long, red hair is tied into a casual braid. The young shepherd has small goat horns, growing from just above his ears. Usually his face has a soft expression with a bright smile on his lips and shining, green eyes.",,,,"- Born and raised to a small family in the peaceful mountain ranges of Paradise on Idyll
- Shepherd of a small flock of sheep. He spent his time protecting and caring for them and his friends and family, with little of nothing to worry about.
- One day, one of his sheep, Nyima, gets lost in a Realm Storm and he goes off in search of her
- Now lost and confused in a world filled with strife and chaos, he tries to get back to his flock, but also take care of anyone he might meet along the way.",Kinship
Akiko,194955560276197377,1358442115108962374,https://media.discordapp.net/attachments/1170110980546637915/1355191933202468934/IMG_6388.png?ex=67f29457&is=67f142d7&hm=864db9b4826fadaea32ea4ea1fefd3f3412ea874732aa93a12c392da6b35fd4f&=&format=webp&quality=lossless&width=&height=,https://discordapp.com/channels/1169852846083153941/1170111183869706362/1326188897373393050,https://docs.google.com/spreadsheets/d/1w01uKJMS0sL7sbUxopJqfR3YNH9Z6Qjos2QxomUmp1Q/edit?usp=sharing,"Guardian ✹
Arcanist 3
Elementalist 3
Daoist 1",#f9c856,17,"Ishiyama, Teisei, Tian Yin",,"Akiko is a muscular young woman standing at 5'8"" with long black hair and pale skin. Her eyes are a dull amber color, but a spark of light gleams within when she wields her black and gold shields that seem like two broken halves of one sun. Though once tense and rigid, she now smiles readily, her hope for the new dawn all but radiating from her demeanor.","Heirloom | Amaterasu's Relic Shield Halves
Susanoo's anger towards those who would wield his ashamed sister's relics chases them even across realms. Wherever these shield halves are, storms pursue. Upon Tian Yin, Susanoo's followers seek out this broken relic, and the pieces are a beacon to hungering Yokai.","Radiant Runic Half (Runic Shield- Memorize [Flare])
Sanctuary Runic Half (Runic Shield- Antistatus [Poisoned])",Amaterasu (Caladrius),"Akiko was born in the village of Ishiyama. The same as every other human, she fell under the thumb of the Oni; though, with natural fire Qi affinity revealed, she was claimed by a powerful red Oni. They took her to the Temple of the Rising Sun as a living forge to make a powerful arsenal. 

This was where she found her shields, hidden beneath the rubble in a relic room long forgotten. Taking them in either hand cast upon her soul a heavenly fire, at long last ridding her of the hopeless fog that left her willfully chained under the Yokai. She fled, falling into a realmstorm and finding a new home in the Worldhelm. She has spent much of her time in isolation to cultivate her connection to Amaterasu, but only the desperate fight against Loftur has finally awakened a deeper understanding of her Dao: the Sunless Dawn.",Hope
Alaska Vertigo,162834639080128512,1355670335105798276,https://cdn.discordapp.com/attachments/855109203785809921/1328167765504299171/aly-01-bigger.png?ex=678ba6df&is=678a555f&hm=9df2eca9748fd5320873b1e5fb9e2762b572e9b988e530d29bc8c6c1f9ceab58&,https://discord.com/channels/1169852846083153941/1170111183869706362/1329576857133387797,https://docs.google.com/spreadsheets/d/12P-OfRCkgmDENcb9pF5hguepQnRVDwmLJ_GcJCYYmbk/edit?usp=sharing,"Entropist ★
Esper 2
Rogue 3
Tinkerer 1",#741b47,16,"Rhine Delta, Terra",,"Wrapped beneath a worn cloak, Aly occupies what was, at one point, clearly a streamlined, and admittedly compact, modern LUA chassis. She sports a concerning amount of wear and tear, along with mismatched and unlicensed replacement parts. From behind a cracked screen, she looks back at the world with eyes that manage to appear tired, despite their lack of detail.",LUA (Robot),,,"- Experimental digital backup of a Lorel.AI software engineer.
- Awoken under concerning circumstances with corrupted memories and a bounty on her head.
- Spent months evading Terra's authorities and doing soul net work for less than reputable benefactors to pay for repairs and upkeep.
- Became embroiled in the affairs of a group of Goldhearted, and took her chance to get aboard the Worldhelm to get out of dodge.
- Hoping to eventually figure out what she was doing before her memories were corrupted (and also who she even really is).
- Recently recovered data from a corrupted memory of her shooting someone.",Doubt
Albreich Surtova,685894970632437785,1352733704052539462,https://media.discordapp.net/attachments/1179610873271177236/1351736378375012533/Albreich_Surtova.png?ex=67dd705a&is=67dc1eda&hm=9b842ce54cf38677c03a260f92e5024013216d79804eeac531d448e4d2eaa763&,https://discord.com/channels/1169852846083153941/1170111183869706362/1352733428692422737,https://docs.google.com/spreadsheets/d/1OmssjYcZL1NQtnn4XKQLPYxie_Z_tpmOq9s60iB1UOU/edit?gid=0#gid=0,"2 Weaponmaster
2 Rogue
1 Sharpshooter",,5,"Brightshield, Kor'Tarion",,"Albreich stands at about 6'2"", 

Though he trains his body regularly he only does as much as he needs to wield his weapon comfortably, preferring to forgo the bulging muscles for a body that allows more dexterous movements.

He carries himself with the confidence and poise of a man with twice his experience, after all the best way to win a fight is to stop it from happening in the first place. 
(Will add more later, this is the thing I suck at most)",,,,"A would be knight that ran away to become a mercenary after growing disillusioned by the crown's inability to take action. Deciding to serve his own interests rather than paying lip service to grandiose ideals like chivalry and knighthood.

After a couple winters working as a freelance mercenary he joined the Golden Claw Mercenaries, much to his surprise he was chosen as a Goldhearted a year after he'd joined the company.",Ambition
Alder,163635515386626049,1346382898160205905,https://i.imgur.com/qlfqHa3.jpeg,https://discord.com/channels/1169852846083153941/1170111183869706362/1345218531884667011,https://docs.google.com/spreadsheets/d/1YwMUWKzE6skQ9bYAVsW0dzdhTAFkPyeuR18nm4xv6Y4/edit?usp=drivesdk,"Guardian 2, Spiritist 6, Arcanist ★",,18,"Kor'Tarion, Faerie Realm",,"Straight, tall, and lithe, covered in silver and white dappled fur, he stands at 5'11'' (not including the antlers) on deer-like hooves, peering at you with what look like distant reflections of stars in his blue(?) eyes. He usually wears a combination of shirts under knit sweaters, and maybe a night blue coat lined with white fur. He adorns himself with a pair of simple, hand-made necklaces, and a single earring on his left ear.","Outcast Fairy
Drawback: Is compelled to heal nature that is hurting.","- Fey's Light (Main hand.) (One-handed Staff. HR+3 Light.) (Blessed Bonds quality.)
- Tomagotchy Cell Phone (Accessory.) (Spell Splash quality)",Caladrius,"- Lived with his nomadic people and family, the Deerfolk, following the guidance of the elementals via a Hearer, nurturing life along the way. 
- Before becoming Goldhearted, he was suddenly, mysteriously, shunted out from his mother's domain, and hasn't been able to get back in or find his family. 
- He has recently found his mother, Willow, learning that the Wyld Hunt has been responsible for hunting and tearing Fey, particularly those of the Spring Court, from their domains. He has also learned that his mother has had dealings with the Spring Court as well, but doesn't quite know how deep it runs.
- He still doesn't know that his mother managed to get Caladrius' favor to bestow upon Alder some of his power to protect him.
- Has yet to become fully aware of his aptitude as a Hearer for his people
- Yuzuru Eiji of Terra is his boyfriend. c:",Preservation
Aldrich S. Escher,196847911710097412,1240899113013481523,https://images-ext-1.discordapp.net/external/tbNfGmUfRtytAy7nr___lXdnjMCLju9ULS9PsUPZfyQ/https/static.zerochan.net/Pengruoxi.full.927000.jpg,,https://docs.google.com/spreadsheets/d/1M7-zjBO9Hs6STOJev9Io6vTKqil48wER2d2-QGVl8dA/edit?usp=sharing,"Elementalist 4
Spiritualist 1
Entropist 2",,7,Kor'Tarion - Tradefair,,"Slender and fragile-looking, but with a confident aura of power. Always carries his Tome, which doubles as his Journal, where he records his findings and experiment results.",Heirloom,Personal Tome (Tome + Spell Vamp),,,Curiosity
Alec Lyon,308792711274692610,1356052732930293821,https://i.imgur.com/JUnUIrv.png,,[NTTech's Detective is here!](https://docs.google.com/spreadsheets/d/1pe0NjuEc361ohO2OiIaB6o2m768KxKdHb5Z2WChYpcQ/edit?usp=sharing),"Lightblade 2
Spiritist 2
Guardian 1",,5,"Dawnstar Valley, Terra",,"Alec is a tall, athletic man who stands at 5'11"" (180cm). Usually wears a smile on his face when interacting with most people. Typically wears a set of battle armor when he's on the job, but otherwise the casual jacket and pants when not on the job. His grayish-white hair done in a stylish mess, with gentle amber eyes.",,,Kuzunoha (NTTech),"- Born to a working class family in Babyl City, Dawnstar Valley.
- Has a natural gift of controlling light and spiritual magic.
- Attended school normally, where he met and befriended Mae Lavery who was a grade year above him.
- Majoring in magic, he eventually graduated and took a position in working for a subsidiary of NTTech that enforces the regulations on magic. Training in both body and magic, putting his skills to use.
- Due to budget reasons, ended up moving into an apartment with Mae about 3 years prior. Then eventually formed a romantic relationship with her.
- 1 year prior to today, Mae Lavery suffered a tragic accident and died. Then she became an Insolvent with a debt over her head. Doing their best to live with the circumstances.
- Thanks to the use of his own spiritual magic and martial training, he was able to successfully mitigate casualties during the events of the Skyfall. Soon leading him to arrive on the Worldhelm, becoming a Goldhearted.",Mercy
Alejandra,234838935442948098,1352527238884491285,https://cdn.discordapp.com/attachments/764533229435879496/1352524966796591104/Hound_3_waifu2x_art_scan_noise1_scalev.png?ex=67de5488&is=67dd0308&hm=8fe0d1b602d2f62bb3046ed646eebc3512d9e71857d6fcf09aacac00f874cd65&,https://discord.com/channels/1169852846083153941/1170111183869706362/1352525116722122782,"[This body we inhabit, the life we have assumed. Just who are we?](https://docs.google.com/spreadsheets/d/1xyGnsU-fai-OBW0JofqC_a7REKDjOt4IVDF_w8FJSWU/edit?usp=sharing)","Guardian
Weaponmaster
Floralist",,5,Idyll- The First Layer Barza,Iron Vein,A suit of armor that moves with an unnaturalness. Almost as if mimicking the people around them.,Arboreal,,Tubulcain,"* A plant native to Barza that awakened in the wake of being discarded by Tubulcain as unneeded in their grand design. 
* Seeking answers to their own existence, and the existence they seemed to have inherited by using the suit as their body.",Awakening
Alexander Romani,173539943426031616,1358464261843718288,https://imgur.com/0qCvvni.png,,https://docs.google.com/spreadsheets/d/1GrUAceR0r5aYbH738DRHI-o4uuViUD80F7VrdEmUT1M/edit?usp=sharing,"Orator 1
Chanter 2
Loremaster 2",,5,"Terra, Haven, Mount Providence",,"Light grey almost white hair, constant stern look on his face with piercing red eyes. Wears a formal but out of fashion suit with a red tie.",Insolvent,,,"- Born and Raised in Mount Providence having a passion for classical songs by hearing it from a radio

- Passed away due to illness before he could get a proper start in the singing industry and became an insolvent due loans from education as well as equipment

- After almost a decade of trying to pay the debt off working entry level jobs in Central, Alexander moved back to Mount Providence almost ready to give up and become a ghoul.

- Instead his passion for the classical music reignites as he a found a old oprea piece and sang his heart out.

- With a new sense of duty he goes out to abandon buildings and churches to find more pieces like the one he found that day to preserve them so that others can still listen

- Currently works at a SWORD affiliated branch at the Fortune Valley Casino where he entertains guests with songs and help remix classic sheet music for SWORD to reuse in their products.

- Got picked up by the realmstorm when scavenging for more antiques",Duty
Alexei Volkov,384371410576998401,1355266055362052127,https://i.imgur.com/x2lsAei.jpeg,,https://docs.google.com/spreadsheets/d/1TMNsiKWkap54YxUthwrwSaSI0aSXRPKlDi0zF3Qxyl0/edit?usp=sharing,Necromancer 6 | Entropist 3 | Spiritist 1,,10,Dreadlan,,"Alexei is of average to thin stature and around 5'7'' tall. He's pale, his eyes eerily empty of any colour besides white and grey, and his black hair mirrors this scheme with long streaks of white already showing on the otherwise seemingly young man's black hair. Most notably, Alexei has a large scar that runs down his left cheek, neck and further down. Its not certain how large the scar is, as it eventually disappears under his Gnosis Academy uniform.",,,,"- Alexei attends Gnosis Academy and is on the Worldhelm as part of the school's new 'Exchange' program
- He has enjoyed a rather privileged life under his parents, who are both rather powerful spellcasters based out of Dreadlan
- Past encounters with members of Ursakk's Hoard have made him particularly opposed to the organization, though since entering the academy, he hasn't really had a chance to enact his negative feelings toward them",Son of the Dread Mages
Alwyn,297021352773287946,1334878564562243656,https://i.imgur.com/b7mZGIT.png,,https://docs.google.com/spreadsheets/d/1Ip8MIXAbiM58Pu1zdG2j1DITCPNyODQw56UVZVpS2_E/edit?usp=sharing,Weapon Master 3 / Sharpshooter 2,#D2042D,5,Lhodos,,"A relatively tall, well kept man with black hair wearing loose but well fitting clothes.","Old Transport (Skyship)
You own an old vehicle that you love dearly. Unfortunately, the cursed thing barely
holds together and won’t stop causing you trouble. Did you build this vehicle yourself,
or did you receive it from someone? What very specific flaw or quirk makes it unique?
What makes it extremely recognizable?


- Can have technical issues due to Alwyn's lack of technical know how. Can be minor as screens not turning on or as major as key components shutting off.
- Easily Recognizable to those who have knowledge on the Red Roses.",,,"A wanted Sky Pirate whom currently flies alone. Though he is wanted for Theft and Assault, there is no evidence that he has done so to any non-noble/rich people/group.",Ambition
